,Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
77, Birmania,142315.0,23.0,3204.0,0.0,131774.0,7337.0,0.0
78, Bahrain,138283.0,0.0,507.0,0.0,130397.0,7379.0,49.0
79, Kenia,124707.0,0.0,2066.0,0.0,90770.0,31871.0,141.0
80, Albania,122295.0,0.0,2171.0,0.0,87193.0,32931.0,46.0
81, Macedonia,122227.0,0.0,3545.0,0.0,102652.0,16030.0,124.0
82, Algeria,116438.0,0.0,3069.0,0.0,81065.0,32304.0,9.0
83, Estonia,100437.0,1429.0,836.0,13.0,71376.0,28225.0,69.0
84, South Korea,100276.0,430.0,1709.0,2.0,92068.0,6499.0,111.0
85, Letonia,99476.0,606.0,1864.0,13.0,90537.0,7075.0,69.0
86, Sri Lanka,91018.0,0.0,552.0,0.0,87630.0,2836.0,0.0
87, Noruega,90535.0,431.0,656.0,0.0,74332.0,15547.0,47.0
88, China,90136.0,11.0,4636.0,0.0,85335.0,165.0,0.0
89, Ghana,89893.0,0.0,734.0,0.0,86248.0,2911.0,47.0
90, Montenegro,88550.0,0.0,1224.0,0.0,79634.0,7692.0,69.0
91, Uruguay,87812.0,0.0,843.0,0.0,71588.0,15381.0,225.0
92, Kirguistán,87758.0,106.0,1494.0,2.0,84407.0,1857.0,16.0
93, Zambia,86993.0,0.0,1187.0,0.0,83617.0,2189.0,119.0
94, Uzbekistán,81816.0,138.0,624.0,1.0,80143.0,1049.0,23.0
95, Finlandia,74242.0,726.0,815.0,4.0,46000.0,27427.0,59.0
96, Cuba,68986.0,0.0,405.0,0.0,65177.0,3404.0,67.0
97, Mozambique,66649.0,0.0,752.0,0.0,53803.0,12094.0,0.0
98, El Salvador,63766.0,0.0,1990.0,0.0,61009.0,767.0,35.0
99, Singapur,60253.0,17.0,30.0,0.0,60078.0,145.0,0.0
100, Luxemburgo,59907.0,0.0,728.0,0.0,55842.0,3337.0,17.0
101, Afganistán,56254.0,28.0,2469.0,2.0,49937.0,3848.0,1105.0
102, Chipre,43286.0,0.0,248.0,0.0,2057.0,40981.0,47.0
103, Namibia,42864.0,0.0,502.0,0.0,39976.0,2386.0,30.0
104, Costa de Marfil,41307.0,0.0,224.0,0.0,37320.0,3763.0,0.0
105, Uganda,40734.0,14.0,334.0,0.0,15147.0,25253.0,0.0
106, Camerún,40622.0,0.0,601.0,0.0,35261.0,4760.0,53.0
107, Senegal,38255.0,121.0,1028.0,5.0,35811.0,1416.0,38.0
108, Botswana,37559.0,0.0,485.0,0.0,32550.0,4524.0,1.0
109, Zimbabue,36749.0,0.0,1516.0,0.0,34476.0,757.0,13.0
110, Jamaica,36670.0,0.0,545.0,0.0,16618.0,19507.0,42.0
111, Malawi,33354.0,0.0,1105.0,0.0,29253.0,2996.0,31.0
112, Sudán,29661.0,0.0,2028.0,0.0,23990.0,3643.0,0.0
113, Australia,29228.0,10.0,909.0,0.0,26257.0,2062.0,0.0
114, Malta,28612.0,102.0,378.0,1.0,26148.0,2086.0,0.0
115, Tailandia,28443.0,97.0,92.0,0.0,26946.0,1405.0,1.0
116, DRC,27729.0,69.0,726.0,0.0,25355.0,1648.0,0.0
117, Madagascar,23040.0,196.0,369.0,6.0,21372.0,1299.0,23.0
118, Maldivas,22929.0,0.0,66.0,0.0,20359.0,2504.0,102.0
119, Angola,21836.0,0.0,532.0,0.0,20172.0,1132.0,18.0
120, Ruanda,21106.0,0.0,297.0,0.0,19441.0,1368.0,1.0
121, Guinea,19232.0,148.0,113.0,0.0,16190.0,2929.0,24.0
122, Mayotte,19224.0,0.0,154.0,0.0,2964.0,16106.0,16.0
123, Polinesia Francesa,18598.0,0.0,141.0,0.0,4842.0,13615.0,2.0
124, Gabón,18426.0,0.0,109.0,0.0,15863.0,2454.0,33.0
125, Siria,17896.0,0.0,1195.0,0.0,11907.0,4794.0,0.0
126, Mauritania,17690.0,0.0,447.0,0.0,16947.0,296.0,14.0
127, Suazilandia,17301.0,0.0,666.0,0.0,16175.0,460.0,36.0
128, Guyana  Francesa,16922.0,0.0,89.0,0.0,9995.0,6838.0,6.0
129, Cabo Verde,16661.0,0.0,163.0,0.0,15889.0,609.0,23.0
130, Reunión,15561.0,0.0,102.0,0.0,14064.0,1395.0,57.0
131, Tajikistan,13308.0,0.0,90.0,0.0,13218.0,0.0,0.0
132, Haiti,12732.0,0.0,251.0,0.0,10754.0,1727.0,0.0
133, Burkina Faso,12596.0,0.0,145.0,0.0,12269.0,182.0,0.0
134, Belice,12410.0,0.0,317.0,0.0,12047.0,46.0,0.0
135, Andorra,11638.0,0.0,114.0,0.0,11082.0,442.0,12.0
136, Hong Kong,11429.0,9.0,204.0,0.0,10994.0,231.0,10.0
137, Guadalupe,11298.0,0.0,165.0,0.0,2242.0,8891.0,8.0
138, Lesotho,10686.0,0.0,315.0,0.0,4438.0,5933.0,0.0
139, Somalia,10369.0,0.0,453.0,0.0,4564.0,5352.0,0.0
140, Sudán del Sur,9969.0,0.0,107.0,0.0,9002.0,860.0,1.0
141, Guyana,9820.0,0.0,220.0,0.0,8632.0,968.0,12.0
142, Congo,9681.0,0.0,135.0,0.0,7514.0,2032.0,0.0
143, Mali,9577.0,0.0,372.0,0.0,6680.0,2525.0,0.0
144, Togo,9340.0,193.0,105.0,0.0,7400.0,1835.0,0.0
145, Surinán,9077.0,0.0,177.0,0.0,8568.0,332.0,2.0
146, Aruba,8985.0,0.0,82.0,0.0,8336.0,567.0,8.0
147, Bahamas,8935.0,0.0,188.0,0.0,7757.0,990.0,3.0
148, Trinidad y Tobago,7903.0,0.0,141.0,0.0,7575.0,187.0,12.0
149, Martinica,7710.0,0.0,49.0,0.0,98.0,7563.0,5.0
150, Benin,7100.0,0.0,90.0,0.0,5552.0,1458.0,35.0
151, Yibuti,6895.0,0.0,64.0,0.0,6172.0,659.0,0.0
152, Guinea Ecuatorial,6851.0,0.0,102.0,0.0,6335.0,414.0,10.0
153, Nicaragua,6629.0,0.0,177.0,0.0,4225.0,2227.0,0.0
154, Curaçao,6424.0,0.0,27.0,0.0,4952.0,1445.0,38.0
155, Islandia,6158.0,14.0,29.0,0.0,6040.0,89.0,1.0
156, Mongolia,5895.0,285.0,5.0,0.0,4044.0,1846.0,22.0
157, Gambia,5303.0,0.0,161.0,0.0,4926.0,216.0,3.0
158, República Centroaficana,5088.0,0.0,64.0,0.0,4957.0,67.0,2.0
159, Níger,4939.0,0.0,185.0,0.0,4553.0,201.0,1.0
160, San Marino,4484.0,0.0,82.0,0.0,3914.0,488.0,9.0
161, Chad,4453.0,0.0,158.0,0.0,4072.0,223.0,0.0
162, Gibraltar,4271.0,0.0,94.0,0.0,4160.0,17.0,1.0
163, Santa Lucía,4161.0,0.0,58.0,0.0,3977.0,126.0,2.0
164, Papua Nueva Guinea,4109.0,0.0,39.0,0.0,846.0,3224.0,0.0
165, Islas del Canal,4046.0,0.0,86.0,0.0,3960.0,0.0,1.0
166, Sierra Leona,3953.0,0.0,79.0,0.0,2796.0,1078.0,0.0
167, Seychelles,3882.0,0.0,18.0,0.0,3318.0,546.0,0.0
168, Yemén,3703.0,0.0,800.0,0.0,1577.0,1326.0,23.0
169, Comoros,3682.0,0.0,146.0,0.0,3491.0,45.0,0.0
170, Guinea-Bissau,3591.0,0.0,56.0,0.0,2901.0,634.0,16.0
171, Barbados,3582.0,0.0,40.0,0.0,3401.0,141.0,0.0
172, Eritrea,3183.0,0.0,8.0,0.0,2962.0,213.0,0.0
173, Burundi,2657.0,0.0,6.0,0.0,773.0,1878.0,0.0
174, Liechtenstein,2642.0,6.0,56.0,0.0,2549.0,37.0,0.0
175, Vietnam,2579.0,3.0,35.0,0.0,2265.0,279.0,0.0
176, Nueva Zelanda,2476.0,6.0,26.0,0.0,2379.0,71.0,0.0
177, Islas Turcas y Caicos,2315.0,0.0,17.0,0.0,2183.0,115.0,2.0
178, Mónaco,2210.0,0.0,28.0,0.0,2040.0,142.0,3.0
179, Santo Tomé y Príncipe,2174.0,0.0,34.0,0.0,2015.0,125.0,0.0
180, Sint Maarten,2114.0,0.0,27.0,0.0,2062.0,25.0,1.0
181, Liberia,2042.0,0.0,85.0,0.0,1899.0,58.0,2.0
182, Camboya,1872.0,55.0,5.0,0.0,1056.0,811.0,0.0
183, San Vicente y las Granadinas,1715.0,12.0,10.0,0.0,1535.0,170.0,2.0
184, San Martín,1619.0,0.0,12.0,0.0,1399.0,208.0,7.0
185, Isla de Man,1530.0,0.0,26.0,0.0,702.0,802.0,12.0
186, Caribe Neerlandés,1192.0,0.0,10.0,0.0,727.0,455.0,0.0
187, Antigua y Barbuda,1100.0,20.0,28.0,0.0,743.0,329.0,45.0
188, Taiwán,1012.0,3.0,10.0,0.0,971.0,31.0,0.0
189, Bermuda,880.0,40.0,12.0,0.0,718.0,150.0,0.0
190, Bután,870.0,0.0,1.0,0.0,867.0,2.0,0.0
191, Mauricio,850.0,0.0,10.0,0.0,592.0,248.0,0.0
192, San Bartolomé,775.0,0.0,1.0,0.0,462.0,312.0,0.0
