Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
 Finlandia,"81,707",-,868,-,"46,000","34,839",41
 Mozambique,"68,578",-,789,-,"58,383","9,406",68
 El Salvador,"65,491",-,"2,051",3,"62,340","1,100",30
 Luxemburgo,"63,650",-,768,-,"58,874","4,008",30
 Camerún,"61,731",-,919,-,"56,926","3,886",385
 Singapur,"60,633",-,30,-,"60,322",281,1
 Afganistán,"57,242",82,"2,529",8,"51,989","2,724","1,120"
 Chipre,"51,035",-,272,-,"39,061","11,702",52
 Namibia,"45,323",-,564,-,"43,555","1,204",20
 Costa de Marfil,"45,089",-,260,-,"44,197",632,-
 Botswana,"42,674",-,636,-,"38,203","3,835",1
 Jamaica,"42,119",-,669,-,"18,785","22,665",44
 Uganda,"41,113",-,337,-,"40,685",91,-
 Senegal,"39,364",-,"1,077",-,"38,101",186,18
 Zimbabue,"37,273",-,"1,538",-,"34,862",873,3
 Malawi,"33,805",-,"1,127",-,"31,360","1,318",23
 Tailandia,"32,625",967,97,-,"28,214","4,314",1
 Sudán,"30,111",-,"2,063",-,"24,214","3,834",-
 Malta,"29,548",-,402,-,"28,610",536,-
 Australia,"29,402",6,909,-,"26,356","2,137",-
 DRC,"28,542",-,745,-,"25,841","1,956",-
 Madagascar,"27,548",-,493,-,"23,481","3,574",246
 Maldivas,"25,524",-,67,-,"22,429","3,028",82
 Ruanda,"23,343",-,314,-,"21,072","1,957",6
 Angola,"23,331",-,550,-,"21,890",891,13
 Guinea,"20,807",-,133,-,"18,473","2,201",24
 Gabón,"20,636",-,127,-,"17,456","3,053",20
 Siria,"20,118",-,"1,368",-,"13,895","4,855",-
 Mayotte,"19,643",-,167,-,"2,964","16,512",7
 Polinesia Francesa,"18,652",-,141,-,"4,842","13,669",2
 Cabo Verde,"18,629",-,177,-,"17,077","1,375",23
 Mauritania,"18,012",-,450,-,"17,322",240,14
 Guyana  Francesa,"17,549",-,94,-,"9,995","7,460",9
 Reunión,"17,508",-,123,-,"16,011","1,374",54
 Suazilandia,"17,373",-,669,-,"16,645",59,3
 Mongolia,"15,014",831,22,2,"9,159","5,833",88
 Tajikistan,"13,308",-,90,-,"13,218",-,-
 Burkina Faso,"12,956",-,152,-,"12,593",211,-
 Haiti,"12,840",-,251,-,"11,447","1,142",-
 Andorra,"12,497",-,120,-,"11,770",607,12
 Belice,"12,485",-,318,-,"12,106",61,1
 Somalia,"12,271",-,605,-,"5,129","6,537",-
 Guadalupe,"12,140",-,174,-,"2,242","9,724",13
 Togo,"11,947",-,116,-,"9,190","2,641",-
 Mali,"11,705",-,405,-,"7,101","4,199",-
 Hong Kong,"11,569",-,207,-,"11,193",169,7
 Curaçao,"11,180",-,63,-,"6,405","4,712",22
 Guyana,"11,044",-,252,-,"9,688","1,104",14
 Lesotho,"10,707",-,315,-,"4,471","5,921",-
 Sudán del Sur,"10,359",-,114,-,"10,090",155,-
 Congo,"10,084",-,137,-,"8,208","1,739",-
 Aruba,"10,016",-,92,-,"9,351",573,14
 Yibuti,"9,722",-,94,-,"7,763","1,865",-
 Bahamas,"9,364",-,189,-,"8,837",338,4
 Surinán,"9,278",-,179,-,"8,654",445,9
 Martinica,"9,028",-,57,-,98,"8,873",5
 Trinidad y Tobago,"8,382",-,145,-,"7,723",514,14
 Papua Nueva Guinea,"8,342",-,68,-,846,"7,428",-
 Benin,"7,515",-,93,-,"6,452",970,35
 Guinea Ecuatorial,"7,219",-,106,-,"6,799",314,11
 Nicaragua,"6,727",-,179,-,"4,225","2,323",-
 Islandia,"6,258",-,29,-,"6,126",103,-
 Gambia,"5,602",-,168,-,"5,145",289,3
 República Centroaficana,"5,491",-,74,-,"5,056",361,2
 Yemén,"5,276",-,"1,031",-,"2,027","2,218",23
 Níger,"5,072",-,188,-,"4,747",137,1
 San Marino,"4,956",-,85,-,"4,477",394,10
 Chad,"4,625",-,167,-,"4,286",172,-
 Seychelles,"4,395",-,24,-,"4,091",280,-
 Santa Lucía,"4,347",-,64,-,"4,160",123,3
 Gibraltar,"4,277",-,94,-,"4,180",3,-
 Camboya,"4,238",157,29,3,"2,152","2,057",-
 Islas del Canal,"4,051",-,86,-,"3,956",9,1
 Sierra Leona,"3,995",-,79,-,"2,828","1,088",-
 Comoros,"3,789",-,146,-,"3,577",66,-
 Barbados,"3,719",-,44,-,"3,587",88,-
 Guinea-Bissau,"3,678",-,66,-,"3,059",553,9
 Eritrea,"3,447",-,10,-,"3,166",271,-
 Burundi,"3,119",-,6,-,773,"2,340",-
 Liechtenstein,"2,738",-,56,-,"2,606",76,4
 Vietnam,"2,692",-,35,-,"2,429",228,-
 Nueva Zelanda,"2,574",3,26,-,"2,440",108,-
 Mónaco,"2,374",-,31,-,"2,230",113,6
 Islas Turcas y Caicos,"2,357",-,17,-,"2,280",60,2
 Santo Tomé y Príncipe,"2,263",-,35,-,"2,179",49,-
 Sint Maarten,"2,185",-,27,-,"2,118",40,1
 Liberia,"2,042",-,85,-,"1,899",58,2
 San Vicente y las Granadinas,"1,790",-,10,-,"1,651",129,2
 Bermuda,"1,773",-,14,-,888,871,28
 San Martín,"1,693",-,12,-,"1,399",282,7
 Isla de Man,"1,574",-,29,-,"1,445",100,-
 Caribe Neerlandés,"1,516",-,14,-,"1,365",137,-
 Antigua y Barbuda,"1,197",-,30,-,936,231,45
 Mauricio,"1,190",-,12,-,750,428,-
 Taiwán,"1,056",-,10,-,"1,020",26,-
 Timor Oriental,947,-,1,-,443,503,-
 Bután,910,-,1,-,875,34,-
 San Bartolomé,907,-,1,-,462,444,-
 Diamond Princess,712,-,13,-,699,-,-
 Islas Faroe,661,-,1,-,660,-,-
 Islas Cayman,516,-,2,-,487,27,-
 Tanzania,509,-,21,-,183,305,7
 Wallis and Futuna,432,-,5,-,44,383,3
 Brunei,219,-,3,-,206,10,-
 Islas Vírgenes Británicas,178,-,1,-,159,18,-
 Dominica,165,-,-,-,159,6,-
 Granada,155,-,1,-,152,2,-
 Nueva Caledonia,121,-,-,-,58,63,-
 Fiji,68,-,2,-,64,2,-
 Malvinas,60,-,-,-,54,6,-
 Laos,49,-,-,-,47,2,-
 Macao,49,-,-,-,48,1,-
 San Cristóbal y Nieves,44,-,-,-,44,-,-
 Groenlandia,31,-,-,-,31,-,-
 Vaticano,27,-,-,-,15,12,-
 Anguilla,25,-,-,-,22,3,-
 San Pedro y Miquelón,24,-,-,-,24,-,-
 Montserrat,20,-,1,-,19,-,-
 Solomon Islands,19,-,-,-,18,1,-
 Sahara Occidental,10,-,1,-,8,1,-
 MS Zaandam,9,-,2,-,7,-,-
 Marshall Islands,4,-,-,-,4,-,-
 Samoa,3,-,-,-,2,1,-
 Vanuatu,3,-,-,-,1,2,-
 Micronesia,1,-,-,-,1,-,-
